annotation_id,annotator,created_at,id,label,lead_time,text,updated_at
28,1,2026-02-23T14:18:17.901689Z,1,"[{""start"":22,""end"":34,""text"":""88 play 2024"",""labels"":[""PROUCT_NAME""]},{""start"":88,""end"":94,""text"":""950000"",""labels"":[""PRICE""]},{""start"":100,""end"":114,""text"":""hà_đông Hà_Nội"",""labels"":[""LOCATION""]},{""start"":9,""end"":21,""text"":""vợt cầu_lông"",""labels"":[""PROUCT_TYPE""]}]",23.99,"cần pass vợt cầu_lông 88 play 2024 đánh được 2-3 trận cước 1 mới đứt , không vết xước . 950000 gdtt hà_đông Hà_Nội",2026-02-23T19:06:36.606177Z
29,1,2026-02-23T14:18:34.554218Z,2,"[{""start"":0,""end"":12,""text"":""Vợt cầu_lông"",""labels"":[""PROUCT_TYPE""]},{""start"":13,""end"":20,""text"":""Haojian"",""labels"":[""PROUCT_NAME""]},{""start"":193,""end"":198,""text"":""40000"",""labels"":[""PRICE""]}]",15.763,"Vợt cầu_lông Haojian màu đen , cam , đỏ , thiết_kế đẹp , phù_hợp cho cả nam và nữ . Vợt nhẹ , dễ điều_khiển . Chất_liệu bền , chịu lực tốt . Phù_hợp cho người mới chơi hoặc chơi giải_trí . Giá 40000",2026-02-23T14:18:34.554238Z
30,1,2026-02-23T14:18:53.902065Z,3,"[{""start"":0,""end"":12,""text"":""Vợt cầu_lông"",""labels"":[""PROUCT_TYPE""]},{""start"":13,""end"":39,""text"":""Prokennex_Stormbreaker 618"",""labels"":[""PROUCT_NAME""]},{""start"":105,""end"":111,""text"":""250000"",""labels"":[""PRICE""]},{""start"":114,""end"":157,""text"":""Xã Trung_An , Huyện Củ_Chi , Tp_Hồ_Chí_Minh"",""labels"":[""LOCATION""]}]",18.368,"Vợt cầu_lông Prokennex_Stormbreaker 618 màu đen . Vợt nhẹ , dễ điều_khiển , phù_hợp người mới chơi . Giá 250000 . Xã Trung_An , Huyện Củ_Chi , Tp_Hồ_Chí_Minh",2026-02-23T14:18:53.902080Z
31,1,2026-02-23T14:19:17.875538Z,4,"[{""start"":3,""end"":6,""text"":""vợt"",""labels"":[""PROUCT_TYPE""]},{""start"":56,""end"":65,""text"":""Ryuga cls"",""labels"":[""PROUCT_NAME""]},{""start"":97,""end"":104,""text"":""Hạ_Long"",""labels"":[""LOCATION""]},{""start"":74,""end"":77,""text"":""9xx"",""labels"":[""PRICE""]}]",22.785,Xả vợt Sale mạnh cho ae chơi tết Đủ các mã vợt cũ + mới Ryuga cls new chỉ 9xx tặng túi .... Gdtt_Hạ_Long - Ship cod toàn_quốc,2026-02-23T14:19:17.875555Z
32,1,2026-02-23T14:19:41.580110Z,5,"[{""start"":14,""end"":17,""text"":""vợt"",""labels"":[""PROUCT_TYPE""]},{""start"":104,""end"":110,""text"":""900000"",""labels"":[""PRICE""]},{""start"":143,""end"":146,""text"":""HCM"",""labels"":[""LOCATION""]},{""start"":18,""end"":32,""text"":""Victor_TK 220h"",""labels"":[""PROUCT_NAME""]}]",26.954,"Mình cần pass vợt Victor_TK 220h II 99% cước 1 66u 11kg như mới , chỉ đánh 1 2 set do không hợp tay Giá 900000 có fix cho ai gọn lẹ , chỉ gdtt HCM , mình cầm vợt qua cho xem oke thì lấy ạ .",2026-02-23T19:12:46.952039Z
33,1,2026-02-23T14:20:19.365571Z,6,"[{""start"":0,""end"":3,""text"":""Vợt"",""labels"":[""PROUCT_TYPE""]},{""start"":83,""end"":89,""text"":""870000"",""labels"":[""PRICE""]},{""start"":95,""end"":114,""text"":""Biên_Hoà , BD , HCM"",""labels"":[""LOCATION""]},{""start"":4,""end"":18,""text"":""Ryuga 2 Pro VN"",""labels"":[""PROUCT_NAME""]}]",47.993,"Vợt_Ryuga 2 Pro VN 4UG6 , vừa lên cước 2 ( 65 Ti ) Tình_trạng : mới không xước Giá 870000 GDTT Biên_Hoà , BD , HCM Cảm_ơn AD đã duyệt bài",2026-02-23T19:12:58.898406Z
34,1,2026-02-23T14:20:38.277786Z,7,"[{""start"":5,""end"":8,""text"":""vợt"",""labels"":[""PROUCT_TYPE""]},{""start"":9,""end"":19,""text"":""77 pro 4u5"",""labels"":[""PROUCT_NAME""]},{""start"":120,""end"":127,""text"":""3000000"",""labels"":[""PRICE""]},{""start"":162,""end"":167,""text"":""TpHCM"",""labels"":[""LOCATION""]}]",17.986,"Pass vợt 77 pro 4u5 99% keng ko vết , vợt đc bảo_hành thay gen trọn đời , ae mua về dùng không lo tiền thay cứ tẹt ga . 3000000 ae nhanh gọn bớt xăng xe Chỉ_GDTT_TpHCM",2026-02-23T14:20:38.277802Z
35,1,2026-02-23T14:21:26.108088Z,8,"[{""start"":15,""end"":18,""text"":""vợt"",""labels"":[""PROUCT_TYPE""]},{""start"":19,""end"":45,""text"":""Yonex_Astrox 88D Tour 2024"",""labels"":[""PROUCT_NAME""]},{""start"":137,""end"":144,""text"":""2000000"",""labels"":[""PRICE""]},{""start"":181,""end"":187,""text"":""Hà_Nội"",""labels"":[""LOCATION""]}]",46.483,"Pass nhanh cây vợt Yonex_Astrox 88D Tour 2024 . Vợt còn mới , xước nhẹ không đáng_kể . Đang căng sẵn Yonex BG80 , mua về đánh luôn . Giá 2000000 tròn , ưu_tiên ae chốt nhanh . Gdtt Hà_Nội . Quan_tâm ib mình gửi ảnh chi_tiết .",2026-02-23T14:21:26.108107Z
36,1,2026-02-23T14:21:49.662755Z,9,"[{""start"":10,""end"":22,""text"":""vợt cầu_lông"",""labels"":[""PROUCT_TYPE""]},{""start"":23,""end"":41,""text"":""Yonex astrox 100zz"",""labels"":[""PROUCT_NAME""]},{""start"":73,""end"":80,""text"":""7000000"",""labels"":[""PRICE""]},{""start"":61,""end"":64,""text"":""HCM"",""labels"":[""LOCATION""]}]",21.768,"Cần gả em vợt cầu_lông Yonex astrox 100zz navy new 100% gdtt HCM , Giá : 7000000 – fix lấy lộc đầu năm cho anh_em chơi cầu",2026-02-23T14:21:49.662774Z
37,1,2026-02-23T14:22:03.273677Z,10,"[{""start"":17,""end"":20,""text"":""vợt"",""labels"":[""PROUCT_TYPE""]},{""start"":21,""end"":42,""text"":""Yonex_Arcsaber 11 Pro"",""labels"":[""PROUCT_NAME""]},{""start"":110,""end"":117,""text"":""3200000"",""labels"":[""PRICE""]},{""start"":127,""end"":142,""text"":""Quế_Võ Bắc_Ninh"",""labels"":[""LOCATION""]}]",12.498,"Mình cần bán cây vợt Yonex_Arcsaber 11 Pro tình_trạng như hình ( không nứt , gãy ) căng cước 65T , 11kg . Giá 3200000 Ae nào ở Quế_Võ Bắc_Ninh quan_tâm thì nhắn_tin mình nhé ( giao_dịch trực_tiếp ) Sdt : 0962576504 Xin cảm_ơn",2026-02-23T14:22:03.273694Z
38,1,2026-02-23T14:22:22.187980Z,11,"[{""start"":71,""end"":74,""text"":""vợt"",""labels"":[""PROUCT_TYPE""]},{""start"":8,""end"":13,""text"":""100zz"",""labels"":[""PROUCT_NAME""]},{""start"":29,""end"":36,""text"":""1500000"",""labels"":[""PRICE""]},{""start"":83,""end"":88,""text"":""tphcm"",""labels"":[""LOCATION""]}]",17.496,"Cần bán 100zz navy hàn 12h , 1500000 hàn carbon cân_bằng đỉnh 7/10 với vợt bt gdtt tphcm",2026-02-23T14:22:22.187997Z
39,1,2026-02-23T14:22:54.851221Z,12,"[{""start"":177,""end"":184,""text"":""2500000"",""labels"":[""PRICE""]},{""start"":223,""end"":230,""text"":""quận 12"",""labels"":[""LOCATION""]},{""start"":14,""end"":35,""text"":""Victor_Ryuga_Metallic"",""labels"":[""PROUCT_NAME""]}]",40.069,"Cần ra đi cây Victor_Ryuga_Metallic 4U Tình_trạng : 98% 1,2 vết lông mèo chưa lún , cạch Lưới_Kizuna 69 cước 2 Thích_hợp mấy anh_em tay khoẻ bạo_lực đập ầm_ầm . Giá mong_muốn : 2500000 tặng cái quấn cán tình củm . GDTT tại quận 12 . Comment để ép_giá . Anh_em quen_biết giới_thiệu giúp em nha",2026-02-23T19:08:39.944444Z
40,1,2026-02-23T14:23:16.411116Z,13,"[{""start"":19,""end"":22,""text"":""vợt"",""labels"":[""PROUCT_TYPE""]},{""start"":23,""end"":69,""text"":""Victor_Thruster_Ryuga_Metallic China_Open 2024"",""labels"":[""PROUCT_NAME""]},{""start"":335,""end"":342,""text"":""2600000"",""labels"":[""PRICE""]},{""start"":0,""end"":13,""text"":""HCM - Thủ_đức"",""labels"":[""LOCATION""]}]",20.695,"HCM - Thủ_đức pass vợt Victor_Thruster_Ryuga_Metallic China_Open 2024 Bản 3ug5 cho các thần búa đánh_đơn Lưới_Kilint HP80P - 26LBS ( cước nội_địa trung hao_hao giống Bg 80 ) mới đan . Tình_trạng 2 chấm và 1 vết dài . Vợt tập chạy cầu nên không va_chạm còn vết tại_sao có thì chịu_thua . Chỉ gdtt không ship cod , bao check hàn spa Giá 2600000",2026-02-23T14:23:16.411134Z
